name,description
Headache,Pain or discomfort in the head or scalp
Fever,Temporary increase in body temperature often due to infection
Common Cold,Viral infection of the upper respiratory tract
Hyperlipidemia,High level of cholesterol or lipids in the blood
GERD,Chronic acid reflux from stomach into esophagus
Asthma,Chronic inflammatory airway disease causing wheezing and shortness of breath
Rheumatoid Arthritis,Autoimmune inflammatory disease affecting joints
Type 2 Diabetes,Metabolic disorder with high blood glucose
Hypothyroidism,Condition where thyroid gland does not produce enough hormone
Hypertension,High blood pressure
Anxiety Disorder,Mental health condition with excessive worry or panic
Depression,Mood disorder causing persistent sadness and loss of interest
Bacterial Infection,Infection caused by bacteria
Blood Clot,Clump of blood that can block normal circulation
Neuropathic Pain,Pain caused by damage or dysfunction of nerves
Heart Failure,Condition where the heart cannot pump blood effectively
